auditory_attention,visual_attention,interest,stress,engagement,class
0.5289835,0.49461525,0.5684375,0.49557025,0.575005,boring
0.517578,0.4803805,0.56066225,0.435731,0.575752,boring
0.51407825,0.46819575,0.5558435,0.373575,0.6032125,boring
0.5267775,0.47865975,0.55795825,0.3635775,0.62792025,boring
0.53837975,0.490171,0.5626295,0.3820835,0.6358995,boring
0.540829,0.495015,0.5632925,0.39565925,0.6291255,boring
0.52998775,0.48394525,0.56310075,0.4424485,0.6168145,boring
0.5084335,0.4643925,0.5644045,0.51257975,0.617254,boring
0.48200675,0.441451,0.562659,0.54315575,0.619196,boring
0.452798,0.428523,0.57097625,0.54511075,0.621131,boring
0.429033,0.41499125,0.57247225,0.556143,0.6215485,boring
0.4233065,0.41289925,0.56535375,0.5549835,0.61954175,boring
0.43029325,0.42243575,0.5696405,0.55981275,0.6186855,boring
0.4562965,0.4542465,0.5715115,0.5421505,0.63689425,boring
0.491933,0.488025,0.5657115,0.51202875,0.671785,boring
0.528718,0.5217535,0.56678575,0.5924835,0.7032895,boring
0.5531335,0.52487175,0.57174275,0.66327825,0.71958225,boring
0.58144375,0.54198025,0.57294225,0.66337825,0.72054075,boring
0.5934975,0.5489335,0.57633975,0.64138675,0.7264655,boring
0.5794035,0.54283025,0.59147825,0.68912225,0.75416125,boring
0.5457285,0.52070325,0.600432,0.74245925,0.78502075,boring
0.51849675,0.50154775,0.59252275,0.7025755,0.79689575,boring
0.5299235,0.51599275,0.587058,0.64540675,0.7754985,boring
0.57307,0.55973875,0.58240275,0.655328,0.738724,boring
0.59846925,0.5842965,0.5795315,0.6785545,0.706293,boring
0.6014695,0.5870195,0.57782425,0.670857,0.682297,boring
0.5982715,0.5851865,0.577106,0.6475,0.6610975,boring
0.596074,0.5793465,0.57606225,0.6195235,0.65866,boring
0.58566325,0.559683,0.57263425,0.5901,0.66158025,boring
0.563111,0.5284845,0.5742095,0.57487325,0.65262,boring
0.543498,0.50037875,0.576764,0.6902275,0.64263925,boring
0.53878075,0.48471425,0.64422375,0.75366825,0.63911225,boring
0.5425735,0.47376725,0.73671725,0.79094675,0.63874475,boring
0.54312775,0.47013625,0.73852075,0.826472,0.64516125,boring
0.5393305,0.47080575,0.67758875,0.8079085,0.653584,boring
0.523207,0.4689565,0.6301315,0.7646615,0.66177425,boring
0.50521875,0.46236325,0.605276,0.74548275,0.655581,boring
0.4917075,0.45812175,0.6069825,0.750598,0.64576775,boring
0.4937755,0.457362,0.683026,0.734155,0.650949,boring
0.50985125,0.462762,0.71807675,0.71160275,0.6532485,boring
0.5179295,0.461177,0.6767,0.68103425,0.65387675,boring
0.50998625,0.4529115,0.62716625,0.63993275,0.6564115,boring
0.5034775,0.44167125,0.5967445,0.61983425,0.667818,boring
0.4847725,0.43993575,0.5790345,0.63330275,0.67471375,boring
0.46934175,0.43061075,0.57450475,0.62199575,0.670267,boring
0.468766,0.42543525,0.56877575,0.6042415,0.66882425,boring
0.48967725,0.43087775,0.56426525,0.57150475,0.68466475,boring
0.5207945,0.45268275,0.56594275,0.574552,0.6947025,boring
